PSU_ID,PSU,Region,Histt_RS,X_UTMNAD83,Y_UTMNAD83,C1,C1_YR,C1_Wyr,C1_SmpDate,C1_plot_count,C2,C2_YR,C2_Wyr,C2_SmpDate,C2_plot_count,C3,C3_YR,C3_Wyr,C3_SmpDate,C3_plot_count
P000,0,ENP_W,Y,532345.5,2842696.3,C1,1,2012,"3/20, 3/22, 3/27/2012",135,C2,1,2016,"12/11, 12/14/2015; 03/11/2016",135,C3,1,"2021, 2022","12/4, 12/9/2020, 11/17/2021",135
P001,1,WCA1,Y,566677.9,2942982.1,C1,1,2010,9/18/2009,164,C2,1,2016,"03/02, 03/04, 03/07/2016",113,C3,1,2021,"10/30, 10/31/2020",117
P002,2,WCA3AS,Y,525056.6,2861614.1,C1,1,2010,"11/9, 11/23, 11/24/2009",159,C2,1,2016,"09/28, 09/30/2015",129,C3,1,2021,"12/12, 12/12/2020",132
P003,3,WCA3AN,Y,532505.3,2910966.9,C1,1,2010,9/4/2009,80,C2,1,2016,"02/23, 02/25/2016",71,C3,1,2021,1/23/2021,89
P004,4,WCA3AC,Y,530756.4,2872127.6,C1,1,2010,"7/28,7/29/2009",215,C2,1,2016,"10/12, 11/02, 11/13/2015",121,C3,1,"2021, 2022","12/16, 12/28/2020, 12/12/2021",132
P006,6,ENP_S,Y,519649.4,2814585.3,C1,1,2010,"10/24,10/28/2009",132,C2,1,2016,"11/23, 11/25/2015",129,C3,1,"2021, 2022","11/2, 12/2/2020, 12/22/2021",130
P007,7,WCA3AN,Y,526262.4,2891226.1,C1,1,2010,12/8/2009,174,C2,1,2016,"01/13, 01/25/2016",135,C3,1,2021,"1/13, 1/15/2021",135
P008,8,ENP_MP,N,537019.5,2821237.5,C1,1,2012,"11/30, 12/12, 12/16/2011",129,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P009,9,WCA2A,Y,557549.6,2919280.2,C1,1,2010,"8/17, 8/18/2009",200,C2,1,2016,"02/08, 02/10/2016",120,C3,1,2021,"1/25, 1/27/2021",120
P010,10,ENP_MP,N,518729.1,2846327.6,C1,1,2012,"4/19, 5/4, 5/5/2012",135,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P011,11,WCA3AC,Y,546603.3,2893273,C1,1,2011,"8/5, 8/6, 8/11/2010",225,C2,1,2016,"01/08, 01/11/2016",135,C3,1,"2021, 2022","1/20, 1/21, 11/23/2021",135
P013,13,WCA3B,Y,553652.2,2879348.1,C1,1,2011,"8/24, 8/27, 9/3/2010",210,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P014,14,ENP_MP,N,520452.8,2800699.3,C1,1,2012,"9/9, 9/14, 10/7/2011",147,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P015,15,WCA3AC,Y,544263.6,2888174.1,C1,1,2011,"6/17, 6/18, 7/30/2010",240,C2,1,2016,"02/02, 02/03/2016",135,C3,1,"2021, 2022","1/8, 1/11, 11/23, 11/29/2021",134
P016,16,ENP_MP,N,534551.6,2821237.2,C1,2,2011,"12/19/2011, 1/4, 1/6/2012",135,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P017,17,WCA1,Y,575467.5,2927079.8,C1,2,2010,2/2/2010,195,C2,2,2017,"11/07, 11/14/2016",120,C3,2,2022,"10/6, 11/30, 12/26/2021",131
P018,18,ENP_W,Y,523582.5,2837739.8,C1,2,2011,"5/18,5/25, 6/5, 6/7/2010",114,C2,2,2017,1/11/2017,42,C3,2,2022,"10/22, 10/27, 12/7/2021",99
P019,19,WCA3AN,Y,532020.9,2901747.8,C1,2,2011,"9/30, 10/8, 10/12/2010",210,C2,2,2018,"07/26, 08/02/2017",88,C3,2,2022,"10/15, 11/24/2021",114
P020,20,WCA3B,Y,541840.2,2858248.3,C1,2,2011,"9/30, 10/3/2011",225,C2,2,2017,"01/20, 01/23/2017",135,C3,2,2022,"9/24, 9/27/2021",135
P021,21,WCA2A,Y,560020.3,2904486.4,C1,2,2010,3/3/2010,186,C2,2,2018,"08/04, 08/07/2017",135,C3,2,2022,"9/17, 9/20/2021",135
P022,22,ENP_W,Y,510586.7,2822844.4,C1,2,2012,"11/4, 11/9/2011",135,NS,NS,NS,NS,NS,C3,2,2022,"11/1, 11/11, 11/17/2021",135
P023,23,WCA3AC,Y,527209.6,2876687.7,C1,2,2012,"9/23, 9/26, 9/28/2011",237,C2,2,2017,"02/08, 02/10/2017",132,C3,2,2022,"9/1, 9/3/2021",135
P024,24,ENP_N,Y,543033.6,2843539.1,C1,2,2012,"2/28, 3/1, 3/6/2012",132,C2,2,2017,"12/19, 12/29/2016",130,C3,2,2022,"9/8, 9/10/2021, 1/26/2022",133
P025,25,WCA1,Y,556804,2940955.6,C1,2,2010,2/3/2010,192,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P026,26,WCA3AC,Y,519957.4,2866106,C1,2,2011,"9/10, 9/17, 9/23/2010",240,C2,2,2017,"01/30, 02/01/2017",129,C3,2,2022,"10/13, 11/9/2021",135
P027,27,WCA3AN,Y,540532.1,2911394,C1,2,2012,"10/12, 10/21/2011",138,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P028,28,WCA3B,Y,547035.4,2863766.4,C1,2,2011,"11/19, 12/2, 12/13/2010",231,C2,2,2017,"01/25, 01/27/2017",135,C3,2,2022,"10/8, 11/3/2021",132
P029,29,WCA3AN,Y,552008.1,2903701.4,C1,2,2012,9/16/2011,78,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
P030,30,ENP_S,Y,525597.5,2882440.9,C1,2,2012,"9/6, 9/7, 11/16, 11/23, 11/28/2011",210,C2,2,2017,"01/13, 01/18/2017",135,C3,2,2022,"11/8, 11/17/2021",121
P031,31,WCA3AC,Y,535763.3,2882440.9,C1,2,2012,"8/19, 8/22, 9/2/2011",225,C2,2,2017,"02/13, 02/15/2017",135,C3,2,2022,"10/11, 10/29/2021",132
P032,32,ENP_N,Y,534894.8,2838347.8,C1,3,2013,"1/9, 1/13/2013",143,C2,3,2018,"01/29, 01/31/2018",134,C3,3,2023,"9/16, 9/20/2022",135
P034,34,WCA3AS,Y,530097.7,2852094.7,C1,3,2013,"12/18/2012, 1/4/2013",144,C2,3,2018,"11/22, 12/01/2017",135,C3,3,2023,"9/14, 9/21/2023",138
P035,35,WCA3AN,Y,523207.3,2905898.8,C1,3,2013,41242,30,C2,3,2018,10/13/2017,30,C3,3,2023,"12/21/2022, 1/6/2023",135
P036,36,WCA3AS,Y,540859.6,2873130.6,C1,3,2013,"1/29, 2/1/2013",144,C2,3,2018,"01/24, 01/26/2018",126,C3,3,2023,"11/1/2022, 1/9/2023",135
P037,37,WCA2A,Y,563108.3,2909792.2,C1,3,2014,"12/11, 12/14/2013",111,C2,3,2018,"10/09, 10/11/2017",111,C3,3,2023,"9/7, 9/30/2022",129
P039,39,WCA3AN,Y,520196.3,2890623,C1,3,2013,"10/30,11/5/2012",144,C2,3,2018,"10/16, 10/25, 10/27/2017",135,C3,3,2024,"9/15, 9/18/2023",135
P043,43,WCA3AN,Y,539077.4,2897449.3,C1,3,2013,"11/8,11/13/2012",144,C2,3,2018,"09/25, 09/27/2017",129,C3,3,2023,"8/31, 9/2/2022",135
P044,44,WCA3B,Y,545823.9,2858632.9,C1,3,2013,"12/4,12/7//2012",135,C2,3,2018,"01/19, 01/22/2018",132,C3,3,"2023, 2024","9/12, 9/13/2022, 9/12/2023",135
P045,45,WCA3AS,N,550107.7,2883908.2,C1,3,2013,"11/27/2012, 1/21,1/22, 1/24/2013",144,C2,3,2018,"02/07, 02/09/2018",102,C3,3,"2023, 2024","12/14/2022, 10/4, 10/6/2023",135
P047,47,WCA3AC,Y,540134.9,2887740.3,C1,3,2013,"11/16, 11/19/2013",120,C2,3,"2018, 2019","02/12, 02/14, 08/27/2018",120,C3,4,2024,3/29/2024,135
P050,50,ENP_W,Y,528202.2,2833604.6,C1,5,2015,"10/15, 10/22/2014",135,C2,4,2019,"01/25, 01/28/2019",135,C3,4,2024,"11/3, 11/6/2023",135
P051,51,WCA3AN,Y,522037.9,2900773.4,C1,4,2014,"8/4/2014, 8/11/2014",135,C2,4,2019,"09/24, 09/26/2018",135,C3,4,2024,"9/6, 9/13, 9/20/2023",135
P052,52,WCA3AS,Y,532107.6,2852288.6,C1,4,2014,"12/23/2013, 1/3, 1/10/2014",117,C2,4,2019,"02/08, 02/11/2019",117,C3,4,2024,"10/16, 11/20, 12/18/2023; 1/10/2024",135
P053,53,WCA2B,Y,563079.2,2894982,C1,4,2014,"1/31, 2/7, 2/12/2014",129,C2,4,2019,"09/14, 09/17/2018",126,C3,4,2024,"11/29, 12/20/2023",135
P054,54,ENP_W,Y,517243.8,2825691.9,C1,5,2015,"10/29, 10/31/2014",111,C2,4,2019,"01/09, 01/14/2019",111,C3,4,2024,"8/30, 9/1/2023",135
P055,55,WCA3AC,Y,521064.6,2876059.2,C1,4,2014,"1/13, 1/17/2014",132,C2,4,2019,"10/03, 10/05/2019",129,C3,4,2024,"9/25, 9/29/2023",135
P056,56,ENP_N,Y,538819.5,2843183.1,C1,4,2014,"12/6, 12/10, 12/20/2013",135,C2,4,2019,11/21/2018; 01/11/2019,135,C3,4,2024,"10/20, 10/27, 11/7, 11/8/2023",135
P058,58,WCA3AS,Y,522023.7,2851319.8,C1,4,2014,"1/6, 1/10, 1/15/2014",117,C2,4,2019,"02/15, 02/18/2019",117,C3,4,2024,"11/27, 12/11/2023",135
P059,59,WCA3AN,Y,NS,NS,NS,NS,NS,NS,NS,C2,4,2019,"09/10, 09/12/2018",135,C3,4,2024,"10/9, 10/11/2023",135
P061,61,WCA2A,Y,556317,2914142.6,C1,4,2014,"2/14, 2/17/2014",129,C2,4,2019,"09/05, 09/07/2018",129,C3,4,2024,"10/18, 11/22/2023",135
P062,62,ENP_S,Y,522506.2,2825415.4,C1,4,2014,"12/12, 12/13/2013",135,C2,4,2019,"01/16, 01/23/2019",135,C3,4,2024,"11/7, 11/8/2023",135
P063,63,WCA3AS,Y,543511.7,2878334.2,C1,4,2014,"1/24, 1/27/2014",135,C2,4,2019,"10/26, 11/02/2018",135,C3,4,2024,"1/3, 1/5/2024",135
P065,65,WCA1,Y,565318.4,2930799.6,C1,5,2014,"9/8, 10/1, 11/3/2014",122,C2,5,2020,"08/23, 08/26, 11/25/2019",122,C3,5,2025,"10/14/2024, 10/25/2024, 10/28/2024, 10/30/2024",108
P066,66,WCA3AC,Y,523983.1,2866499.2,C1,5,2015,"7/10, 9/18, 9/21, 9/23/2015",132,C2,5,2020,"08/28, 09/13/2019",132,C3,5,2025,"9/6/2024, 9/9/2024",135
P067,67,WCA3AN,Y,525202,2906093.8,C1,5,2014,"8/25, 9/2/2014",132,C2,5,"2020, 2021","09/30/2019; 09/04, 09/05/2020",132,C3,5,2025,"11/4/2024, 11/6/2024, 11/8/2024, 11/13/2024, 11/15/2024",135
P068,68,WCA3AS,Y,535046.2,2862596.3,C1,5,2014,"8/8, 8/15, 8/29/2014",136,C2,5,2020,"09/16, 09/18/2019",136,C3,5,2025,"8/26/2024, 8/28/2024, 9/4/2024",136
P069,69,WCA2A,Y,567098.5,2910181.7,C1,5,2014,"8/27, 9/5/2014",123,C2,5,2020,"11/06, 11/08/2019",123,C3,5,2025,"9/23/2024, 9/27/2024",135
P071,71,WCA3AC,Y,525747.1,2886258.6,C1,5,2014,"8/13, 8/22/2104",126,C2,5,2020,"09/20, 09/23/2019",126,C3,5,2025,"9/18/2024, 9/20/2024",135
P073,73,WCA2A,Y,554872.3,2923975.3,C1,5,2014,"9/15, 9/17/2014",135,C2,5,"2020, 2021","11/27/2019; 09/11, 09/19/2020",135,C3,5,2025,"9/30/2024, 10/2/2024",132
P079,79,WCA3AC,Y,542515.4,2892858.7,C1,5,2014,"8/18, 8/20/2014",126,C2,5,2020,"09/25, 09/27/2019",126,C3,5,2025,"9/11/2024, 9/13/2024, 9/25/2024",134
P108,108,WCA3B,Y,544130.1,2853456,C1,1,2011,"12/13, 12/14, 12/16, 12/17/2010",219,C2,1,2016,"10/02, 10/07/2015",117,C3,1,"2021, 2022","12/30/2020, 1/6/2021, 1/26/2022",132
P220,220,WCA3B,Y,548070.8,2868866.4,C1,4,2014,"10/8, 10/11/2013",126,C2,4,2019,11/30/2018; 01/18/2019,126,C3,4,2023,"11/7, XX/XX/2022",135
P513,513,ENP_N,Y,547619.4,2846243.2,C1,3,2013,"1/15, 1/18/2013",108,C2,3,2018,"02/02, 02/05/2018",108,C3,3,2023,"10/24, 10/25,2022",135
PBS1,BS1,X_ENP_N,Y,535434.7,2848146.9,C1,4,2013,"9/24, 10/18/2013",120,C2,5,2020,"12/05, 12/11/2019",120,C3,5,2025,"11/27/2024, 12/6/2024",135
PBS2,BS2,X_ENP_N,Y,535135,2846113,C1,4,2013,"10/22, 10/29/2013",129,C2,5,2020,"11/15, 12/11, 12/14/2019",129,C3,5,2025,"12/16/2024, 12/18/2024",135
PBS3,BS3,X_ENP_N,Y,535354,2844092,C1,4,2013,"11/1, 12/3, 12/5, 12/20,2013",135,C2,5,2020,"12/16, 12/27/2019",135,C3,5,2025,"12/20/2024, 1/6/2025",133
PDPM,DPM,X_WCA3B,Y,538203,2858189.1,C1,3,2013,1/1/2013,215,C2,3,"2018, 2019","03/16, 03/19, 08/22, 08/24/2018",215,C3,5,2025,"1/8/2025, 1/10/2025, 1/17/2025",196
